14 May 2022 - 21 May 2022
Date/time;500KVApCIDETpFIME_20220521_163645_5m_STD.P.F. III;500KVApCIDETpFIME_20220521_163645_5m_STD.Minimum P.F. III;500KVApCIDETpFIME_20220521_163645_5m_STD.Maximum P.F. III
5/15/22 9:15:00 PM;0.93;0.92;-0.96
5/15/22 9:20:00 PM;0.92;0.92;0.93
5/15/22 9:25:00 PM;0.92;0.92;0.93
5/15/22 9:30:00 PM;0.92;0.92;0.93
5/15/22 9:35:00 PM;0.92;0.91;0.96
5/15/22 9:40:00 PM;0.95;0.93;0.96
5/15/22 9:45:00 PM;0.89;0.89;0.93
5/15/22 9:50:00 PM;0.91;0.90;0.92
5/15/22 9:55:00 PM;0.91;0.91;0.92
5/15/22 10:00:00 PM;0.91;0.91;0.92
5/15/22 10:05:00 PM;0.93;0.91;-0.96
5/15/22 10:10:00 PM;-0.95;-0.94;-0.96
5/15/22 10:15:00 PM;-0.97;-0.93;0.98
5/15/22 10:20:00 PM;0.94;0.92;-0.98
5/15/22 10:25:00 PM;-0.94;0.92;-0.96
5/15/22 10:30:00 PM;-0.94;-0.92;-0.96
5/15/22 10:35:00 PM;-0.93;-0.92;-0.95
5/15/22 10:40:00 PM;-0.93;-0.91;-0.95
5/15/22 10:45:00 PM;-0.93;-0.92;-0.95
5/15/22 10:50:00 PM;-0.92;-0.91;-0.94
5/15/22 10:55:00 PM;-0.97;-0.91;-0.98
5/15/22 11:00:00 PM;-0.95;-0.93;-0.98
5/15/22 11:05:00 PM;-0.95;-0.93;-0.96
5/15/22 11:10:00 PM;-0.95;-0.94;-0.96
5/15/22 11:15:00 PM;-0.95;-0.93;-0.96
5/15/22 11:20:00 PM;-0.94;-0.93;-0.96
5/15/22 11:25:00 PM;-0.93;-0.91;-0.95
5/15/22 11:30:00 PM;-0.93;-0.91;-0.95
5/15/22 11:35:00 PM;-0.95;-0.92;-0.98
5/15/22 11:40:00 PM;-0.96;-0.92;-0.98
